Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
HAMILTON ISLAND,2016,5,18880,20006,0,0
HOBART,2016,5,86020,90531,0,0
LAUNCESTON,2016,5,47415,49237,0,0
MACKAY,2016,5,32884,32963,0,0
MELBOURNE,2016,5,965286,979592,329015,361483
NEWCASTLE,2016,5,47968,47961,0,0
PERTH,2016,5,323448,324678,149078,158887
SYDNEY,2016,5,1072295,1055096,526968,555830
TOWNSVILLE,2016,5,63397,62570,1685,1933
ADELAIDE,2016,6,269707,262566,33289,39790
BRISBANE,2016,6,686183,685336,201824,228594
CAIRNS,2016,6,177835,162796,20267,23078
CANBERRA,2016,6,116467,119291,0,0
DARWIN,2016,6,89663,83070,10734,13149
GOLD COAST,2016,6,195060,186355,40144,43653
HAMILTON ISLAND,2016,6,19262,17017,0,0
HOBART,2016,6,86667,86917,0,0
LAUNCESTON,2016,6,45377,45564,0,0
MACKAY,2016,6,31980,32428,0,0
MELBOURNE,2016,6,934008,983208,344024,421392
NEWCASTLE,2016,6,46132,46062,0,0
PERTH,2016,6,319153,317203,153342,186840
SYDNEY,2016,6,1032639,1022740,524116,616675
TOWNSVILLE,2016,6,64868,64899,1663,2044
ADELAIDE,2016,7,300002,307952,47258,43425
BRISBANE,2016,7,774563,759615,265175,226192
CAIRNS,2016,7,205259,208746,28946,24878
CANBERRA,2016,7,124246,122447,0,0
DARWIN,2016,7,96087,97283,15791,13694
GOLD COAST,2016,7,232007,236570,59466,47514
HAMILTON ISLAND,2016,7,23290,24686,0,0
HOBART,2016,7,90828,92811,0,0
LAUNCESTON,2016,7,53340,54414,0,0
MACKAY,2016,7,33613,33546,0,0
MELBOURNE,2016,7,1099867,1051762,473996,402026
NEWCASTLE,2016,7,52867,53175,0,0
PERTH,2016,7,345310,359636,217460,185918
SYDNEY,2016,7,1154741,1177544,719961,627148
TOWNSVILLE,2016,7,72641,70220,1973,1919
ADELAIDE,2016,8,284393,279860,39027,40220
BRISBANE,2016,8,717033,719211,221238,238799
CAIRNS,2016,8,189152,195768,28342,33282
CANBERRA,2016,8,126885,123817,0,0
DARWIN,2016,8,85340,92203,12553,12772
GOLD COAST,2016,8,210580,215272,47794,48410
HAMILTON ISLAND,2016,8,22826,23024,0,0
HOBART,2016,8,83265,85213,0,0
LAUNCESTON,2016,8,44702,44901,0,0
MACKAY,2016,8,32588,32852,0,0
MELBOURNE,2016,8,1007425,1007861,387190,393644
NEWCASTLE,2016,8,50653,50216,0,0
PERTH,2016,8,333833,330911,172310,168899
SYDNEY,2016,8,1112898,1096154,601925,608827
TOWNSVILLE,2016,8,64208,66056,1609,1800
ADELAIDE,2016,9,293756,288573,42085,41067
BRISBANE,2016,9,751149,738748,235700,237262
CAIRNS,2016,9,191670,182330,27185,29632
CANBERRA,2016,9,123755,129234,1421,1784
DARWIN,2016,9,81116,82094,11777,12080
GOLD COAST,2016,9,236038,225191,48322,48558
HAMILTON ISLAND,2016,9,26244,24538,0,0
HOBART,2016,9,94732,90362,0,0
LAUNCESTON,2016,9,50064,48950,0,0
MACKAY,2016,9,32594,33221,0,0
MELBOURNE,2016,9,1059435,1055705,407615,395718
NEWCASTLE,2016,9,53555,54507,0,0
PERTH,2016,9,345591,347858,187478,191734
SYDNEY,2016,9,1125415,1159911,617389,630118
TOWNSVILLE,2016,9,66576,68269,1969,1734
ADELAIDE,2016,10,317098,319192,46341,35408
BRISBANE,2016,10,745465,757564,251916,231523
CAIRNS,2016,10,190492,197416,27703,26910
CANBERRA,2016,10,131890,124676,3821,3174
DARWIN,2016,10,80062,84059,12234,11149
GOLD COAST,2016,10,241097,246926,48289,44655
HAMILTON ISLAND,2016,10,25971,27069,0,0
HOBART,2016,10,104258,101159,0,0
LAUNCESTON,2016,10,55946,52152,0,0
MACKAY,2016,10,32954,33473,0,0
MELBOURNE,2016,10,1093450,1100268,439964,373475
NEWCASTLE,2016,10,57411,56414,0,0
PERTH,2016,10,353502,358906,212243,166592
SYDNEY,2016,10,1202970,1174544,693223,588318
TOWNSVILLE,2016,10,64602,64935,2053,1842
ADELAIDE,2016,11,304689,305932,34776,36227
BRISBANE,2016,11,715585,722357,212287,226400
CAIRNS,2016,11,171693,174915,23821,26864
CANBERRA,2016,11,134343,131391,3393,3274
DARWIN,2016,11,68187,68918,9560,9637
GOLD COAST,2016,11,217585,221922,41995,42664
HAMILTON ISLAND,2016,11,24398,25255,0,0
HOBART,2016,11,103495,103545,0,0
LAUNCESTON,2016,11,58326,56791,0,0
MACKAY,2016,11,31026,30902,0,0
MELBOURNE,2016,11,1081488,1066390,386213,394006
NEWCASTLE,2016,11,52703,53000,0,0
PERTH,2016,11,336632,340980,168867,172050
SYDNEY,2016,11,1170274,1167166,605826,622927
TOWNSVILLE,2016,11,58528,59861,1523,1763
ADELAIDE,2016,12,304574,301400,41707,51177
BRISBANE,2016,12,760279,732945,242936,273622
CAIRNS,2016,12,188179,177439,28437,31320
CANBERRA,2016,12,113363,124710,2743,4161
DARWIN,2016,12,62865,76916,8924,17076
GOLD COAST,2016,12,246168,236962,48627,53957
HAMILTON ISLAND,2016,12,26315,24479,0,0
HOBART,2016,12,127433,113400,0,0
LAUNCESTON,2016,12,72849,63415,0,0
MACKAY,2016,12,31024,32448,0,0
MELBOURNE,2016,12,1063853,1097863,444950,511091
NEWCASTLE,2016,12,54559,53371,0,0
PERTH,2016,12,361956,352837,188630,234209
