﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
《蜕变》大学生思政课自制搞笑微电影,13:38,4348,1,三金爱喝口服液,2019-09-15,https://www.bilibili.com/video/BV1tJ411c72f?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=67900500&sort=1
《我心中的思政课》——时代精神,10:03,310,1,魔法美少女潘长江,2020-11-09,https://www.bilibili.com/video/BV14K411G7p8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500199642&sort=1
待到黄桃成熟时——湖南农业大学“我心中的思政课”主题微电影,13:28,2032,17,陆瘦瘦瘦不瘦,2020-10-04,https://www.bilibili.com/video/BV1gf4y1Q7zQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=287285037&sort=1
我心中的思政课,11:21,736,0,方块史蒂夫哈,2020-05-16,https://www.bilibili.com/video/BV1fz4y1R72U?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=583145910&sort=1
「若有偏见」-思政课结课作业，微电影，我心中的思政课,09:58,438,0,小凯开心了吗,2020-11-07,https://www.bilibili.com/video/BV1yV411y7dA?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=415130632&sort=1
北大思政课：中国理论为什么值得自信？,37:50,6363,0,北京大学,2019-12-16,https://www.bilibili.com/video/BV1VJ411672i?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=79466154&sort=1
我心中的思政课微电影之《邪不压正》,10:28,259,0,砚酥_yoleki,2020-11-09,https://www.bilibili.com/video/BV1Rr4y1w7Bc?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=755232732&sort=1
【PUA&amp;拜金】大学生恋爱观（记一次思政课微视频）,05:35,266,1,粥粥头头,2020-12-20,https://www.bilibili.com/video/BV1q5411G7w5?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=458125193&sort=1
【2019寻找最美教师】让思政课活起来，南航“川哥”愿当陪读者（徐川）,05:08,734,0,地铁达人守望者,2019-09-10,https://www.bilibili.com/video/BV1pJ411K7uw?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=67288479&sort=1
大学思政课作品 之 改革开放微电影 -《穿越四十年的变迁》,05:12,7.8万,0,小怪兽说不疼74851,2018-11-19,https://www.bilibili.com/video/BV1kt41117mn?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=36319503&sort=1
【普法互动视频】大学生相关法律知识（思政课作业）,09:10,338,1,柏豪怪先生,2020-11-15,https://www.bilibili.com/video/BV1pp4y1r7Ae?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=970372668&sort=1
大学思政课微电影-《独行者》  加油，每一个为梦想努力的人,10:07,460,0,相逢2020,2020-11-05,https://www.bilibili.com/video/BV1ea4y1s7Hh?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=670191183&sort=1
安徽共青团“绽放战疫青春•坚定制度自信”青春思政课视频,28:50,6289,22,許墨,2020-05-03,https://www.bilibili.com/video/BV1FC4y1s75T?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=795603496&sort=1
【中南大学】我心中的思政课—关于诚信的微电影《真正的第一名》,09:26,230,0,Tianbo_Ma,2020-12-07,https://www.bilibili.com/video/BV1m54y167mQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=843026869&sort=1
“五四运动”100周年，老师思政课上带学生玩“穿越 ”，走心,05:04,6762,15,二更视频,2019-05-05,https://www.bilibili.com/video/BV1j4411i7DL?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=51507546&sort=1
《坚守》宇宙第一思政课剧组的抗疫微电影正式上映！！！,05:19,198,0,就一条鱼而已,2020-12-08,https://www.bilibili.com/video/BV1WZ4y1g7Pw?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=373096269&sort=1
