金属加工,废水排放口,浙江新祥铝业股份有限公司
电镀,标排口,宁波奉化金盛镀业有限公司
化工,标排口,浙江博华化学有限公司
纺织染整,标准排放口,温州市和丰革基布有限公司
金属加工,标排口1#,临安沈氏机械有限公司
污水处理厂,新站排放口,嘉兴市秀洲区田乐污水处理厂
纺织染整,标准排放口,浙江格林兰印染有限公司
化工,总排口,浙江正奇世荣科技有限公司
纺织染整,废水排放口,维科控股集团股份有限公司
食品加工,废水排放口,杭州富阳杭富罐头食品有限公司新浦分公司
火电,10#标排口,台州发电厂
皮革,标准排放口,温州英豪皮业有限公司(温州致富皮业有限公司)
化工,标排口,上虞颖泰精细化工有限公司
纺织染整,总排口,嵊州雅戈尔毛纺织有限公司
污水处理厂,标准排放口,温州杭钢水务有限公司（温州中心片污水处理厂）
食品加工,排放口,宁波飞日水产有限公司
垃圾焚烧,标排口2#,温州龙湾伟明环保能源有限公司
污水处理厂,标排口,丽水水艺环境科技有限公司
daxingchuqinyangzhi,排放口,杭州萧山瓜沥郑浩养殖场
污水处理厂,标准排放口,温州市巨城污水处理有限公司（瞿溪污水处理厂）
电镀,废水排放口,湖州市弁南电镀厂
污水处理厂,总排口,湖州南浔嘉诚水质净化有限公司
造纸,标排口,嵊州市圣亿纸业有限公司
纺织染整,废水排放口,宁波鹰星针纺有限公司
纺织染整,入管网口,桐乡市辉煌染整有限公司
化工,总排口,上虞丰彩颜料化工有限公司
纺织染整,标排口,德清县新鑫达丝绸炼染有限责任公司
金属加工,标准排放口,温州宏丰电工合金股份有限公司
火电,1#排放口,浙江普星蓝天然气发电有限公司
热电,龙港排放口,温州凯弘新能源管理有限公司
纺织染整,标排口,浙江省东阳市康达印染有限公司
造纸,标排口,嵊州宇丰纸业有限公司
热电,排放口—热电厂马目车间,浙江新安化工集团股份有限公司
电镀,废水排放口,宁波北仑电镀厂
化工,废水排放口,宁波新桥化工有限公司
化工,聚合物排放口,诺力昂化学品（宁波）有限公司
污水处理厂,1#排口,临海市江南污水处理厂出水
污水处理厂,排放口,嘉兴市秀清水务建设有限公司洛东污水
火电,废气排放口,浙江普星京兴然气发电有限公司（琥珀）
垃圾焚烧,1#排放口1#垃圾焚烧炉,浙江春晖环保能源有限公司
垃圾焚烧,1#,瑞安市海滨伟明环保能源有限公司
污水处理厂,标排口,兰溪市黄店污水处理有限公司
污水处理厂,总排口,常山富春紫光污水处理有限公司（城镇（原名为常山县天马污水处理厂）
污水处理厂,1#排口,临海市白水洋镇污水处理厂
纺织染整,纳管口,嘉兴市新时代针织有限公司
电镀,1#排口,浙江巨科铝业有限公司
电镀,标排口,义乌市靓迪饰品厂
医药,标排口,浙江华康药业有限公司
化工,污水总排口,杭州帝凯化工有限公司
造纸,废水标排口,杭州富阳万华纸业有限公司
电镀,标排口,浙江中佳科技有限公司
食品加工,标排口,浙江华统肉制品股份有限公司
热电,废气标排口3#,杭州余杭新奥能源发展有限公司
电镀,标排口,宁波海博电泳涂装有限公司
水泥,粉磨站排放口,建德南方水泥有限责任公司
造纸,标准排放口,乐清市秋月造纸有限公司
纺织染整,标排口,义乌市环球染整有限公司
造纸,废水标排口,浙江成功纸业有限公司
纺织染整,标排口,绍兴飞亚印染有限公司
纺织染整,标排口,金华帅达毛纺织品有限公司
电镀,标准排放口,温州市清能节能再生资源有限公司
污水处理厂,排放口,杭州萧山东片污水处理有限公司
化工,标排口,中天东方氟硅材料有限公司(原名浙江中天氟硅材料有限公司）
医药,RTO排气筒,宁波人健医药业化工有限公司
纺织染整,标排口,浙江通益纺织印染有限公司
合成革,废水排放口,湖州德欧皮业有限公司
重金属,1#排口,温岭市泰源电镀有限公司
水泥,窑头排放口,浙江上峰建材有限公司
污水处理厂,废水标排口,宁波三友环保工程有限公司(九龙湖酸洗废水处理站)
造纸,标排口,安吉金瑞纸业有限公司
电镀,标排口,台州市椒江升旺电镀有限公司
皮革,1#排口,浙江聚得利合成革有限公司
食品加工,标排口,浙江舟富食品有限公司
污水处理厂,总排口,嵊州市三界镇始宁污水处理有限公司
金属加工,废水排放口,杭州新永丰钢业有限公司
纺织染整,标准排放口,温州市上顺服饰有限公司
污水处理厂,总排口,嘉兴市秀清水务建设有限公司西文桥污水处理站
电镀,废水排放口,湖州长辉电镀有限公司
化工,标排口,绍兴市上虞区金冠化工有限公司
金属加工,标排口,宁波培源电器制造有限公司
医药,标排口,浙江九旭药业有限公司
污水处理厂,总排口,义乌市水处理有限责任公司江东运营部
化工,污水总排放口,杭州吉华江东化工有限公司
污水处理厂,废水排放口,岱山县岱东镇污水处理厂
纺织染整,排放口,浙江智兴集团有限公司（杭州鸿江纺织印染有限公司）
纺织染整,标排口,东阳市东冉服饰有限公司
污水处理厂,总排口,青田县污水处理厂
造纸,应急排放口,浙江山鹰纸业有限公司(原吉安集团股份有限公司)
纺织染整,标排口,兰溪市永新织造有限公司
火电,4#废气排放口,浙江国华浙能发电有限公司
化工,一期RTO,浙江逸盛石化有限公司
电镀,排口,宁波中骏森驰汽车零部件股份有限公司
污水处理厂,标排口,淳安县水务有限公司坪山污水处理厂
daxingchuqinyangzhi,排放口,杭州萧山钱江出口养殖实业有限公司
化工,1#排口,浙江巨登化工科技有限公司
daxingchuqinyangzhi,标排口,绍兴市上虞富强生态农业有限公司（东海养殖）
纺织染整,2#标排口,杭州益邦氨纶有限公司
污水处理厂,废水排放口,江山市贺村污水处理厂
医药,污水总排放口,泰华医药化工杭州有限公司
化工,港储油气回收废气排放口,中国石化镇海炼化分公司港储部
金属加工,标排口,浙江遂昌遂钢金属制品有限公司
皮革,1#排口,余姚市创丰毛皮制品有限公司
食品加工,标排口,浙江正龙食品有限公司
纺织染整,2#排放口,浙江天马实业股份有限公司
金属加工,标排口,德清县欣勤电子有限公司
电镀,标排口,杭州临安天伦企业有限公司
化工,标准排放口,温州市新纪树脂有限公司
电镀,标排口,宁波市鄞州互环物业管理服务有限公司
热电,1号机组,宁波科丰燃机热电有限公司
纺织染整,标排口,绍兴富强泰华印染有限公司
重金属,1#排口,玉环市大麦屿开发区电镀有限公司
化工,标排口,绍兴市上虞杜浦化工厂
污水处理厂,废水标排口,建德市乾潭镇安仁污水处理厂
